Probe	Chromosome	Start	End	Probe Strand	Feature	ID	Description	Feature Strand	Type	Feature Orientation	Distance	07	08	09	10	11	12
44512..44598	NC_007112.7	44512	44598		tmem39a	tmem39a	No description	-	allgene	overlapping	0	0.6666667461395264	2.126436710357666	0.0	7.692307472229004	0.0	2.2988507747650146
338023..338117	NC_007112.7	338023	338117		gas6	gas6	No description	-	allgene	overlapping	0	0.7936508655548096	0.8695651888847351	0.483091801404953	0.0	0.0	1.08695650100708
714218..714495	NC_007112.7	714218	714495		adamts5	adamts5	No description	-	allgene	overlapping	0	0.0	0.2976190745830536	0.849056601524353	2.2727272510528564	0.0	2.2012579441070557
5455027..5455141	NC_007112.7	5455027	5455141		mnx2b	mnx2b	No description	-	allgene	overlapping	0	0.0	0.0	0.9090909361839294	2.3809523582458496	0.0	0.0
6190055..6190202	NC_007112.7	6190055	6190202		retreg2	retreg2	No description	+	allgene	overlapping	0	1.5416667461395264	0.0	1.3513513803482056	1.4957265853881836	0.0	1.470588207244873
12103532..12103598	NC_007112.7	12103532	12103598		null					Not found	0	2.777777671813965	0.0	0.0	0.0	0.0	0.0
12764123..12764198	NC_007112.7	12764123	12764198		pcdh10a	pcdh10a	No description	+	allgene	overlapping	0	5.882352828979492	0.0	1.5350878238677979	0.0	0.0	0.0
12764316..12764691	NC_007112.7	12764316	12764691		pcdh10a	pcdh10a	No description	+	allgene	overlapping	0	1.8264840841293335	0.6127451062202454	0.0	0.0	2.884615421295166	0.7352941036224365
38309809..38310173	NC_007112.7	38309809	38310173		null					Not found	0	0.0	33.33333206176758	4.135802745819092	53.38827896118164	88.03921508789062	42.68571472167969
40519051..40519235	NC_007112.7	40519051	40519235		maml3	maml3	No description	-	allgene	overlapping	0	3.2608695030212402	0.8888888955116272	0.9259259700775146	0.0	0.0	0.7142857313156128
43862524..43862630	NC_007112.7	43862524	43862630		tacr3a	tacr3a	No description	-	allgene	overlapping	0	1.1111111640930176	0.0	1.2820513248443604	1.7241380214691162	0.0	1.6666667461395264
46195035..46195116	NC_007112.7	46195035	46195116		sox1b	sox1b	No description	+	allgene	overlapping	0	1.1494253873825073	0.0	0.0	3.5714285373687744	0.0	2.3809523582458496
46195167..46195296	NC_007112.7	46195167	46195296		sox1b	sox1b	No description	+	allgene	overlapping	0	0.0	0.0	2.2435898780822754	0.0	0.0	0.0
51156230..51156356	NC_007112.7	51156230	51156356		jag1a	jag1a	No description	-	allgene	overlapping	0	0.5376344323158264	0.8333333134651184	0.32894736528396606	0.0	0.9259259700775146	0.0
51606376..51606506	NC_007112.7	51606376	51606506		cnrip1a	cnrip1a	No description	-	allgene	overlapping	0	0.0	1.3333334922790527	0.5208333134651184	0.0	0.0	0.0
53374409..53374526	NC_007112.7	53374409	53374526		ucp1	ucp1	No description	+	allgene	overlapping	0	31.25	0.0	92.59259033203125	97.5	62.5	35.29411697387695
54971978..54972197	NC_007112.7	54971978	54972197		khsrp	khsrp	No description	-	allgene	overlapping	0	0.3174603283405304	0.37037035822868347	0.860805869102478	0.4098360538482666	1.5625001192092896	0.7936508059501648
55210627..55210712	NC_007112.7	55210627	55210712		mri1	mri1	No description	-	allgene	downstream	8	0.6410256624221802	0.0	5.555555820465088	2.222222328186035	2.2727272510528564	0.0
55838487..55838737	NC_007112.7	55838487	55838737		samd1b	samd1b	No description	-	allgene	overlapping	0	0.8620689511299133	0.0	1.1837503910064697	0.9356725811958313	0.5747126936912537	0.0
55872737..55873038	NC_007112.7	55872737	55873038		prkacab	prkacab	No description	-	allgene	overlapping	0	0.0	2.9761905670166016	0.761904776096344	1.9743590354919434	0.7575757503509521	0.8928571343421936
58840886..58840971	NC_007112.7	58840886	58840971		tmed1b	tmed1b	No description	+	allgene	overlapping	0	1.4906833171844482	0.0	0.0	2.17391300201416	0.0	3.6231884956359863
58841059..58841170	NC_007112.7	58841059	58841170		tmed1b	tmed1b	No description	+	allgene	overlapping	0	2.6881721019744873	2.3809525966644287	4.44444465637207	2.020202159881592	4.761904716491699	2.857142925262451
58957269..58957378	NC_007112.7	58957269	58957378		sh2d3a	sh2d3a	No description	-	allgene	overlapping	0	0.8928571343421936	2.9761905670166016	0.7142857313156128	1.1904762983322144	0.0	0.0
59236634..59236766	NC_007112.7	59236634	59236766		akap8l	akap8l	No description	-	allgene	overlapping	0	0.0	1.25	1.0416667461395264	0.0	0.0	0.0
30534..30954	NC_007113.7	30534	30954		znfl2b	znfl2b	No description	+	allgene	overlapping	0	5.796485424041748	82.14286041259766	40.738094329833984	40.141845703125	46.074073791503906	92.44186401367188
73818..74117	NC_007113.7	73818	74117		cldn1	cldn1	No description	+	allgene	upstream	1856	1.8599034547805786	0.3333333432674408	0.2631579041481018	2.17391300201416	1.932367205619812	1.4639639854431152
101153..101449	NC_007113.7	101153	101449		angptl1b	angptl1b	No description	-	allgene	overlapping	0	1.5664161443710327	92.85713958740234	1.2865498065948486	7.30994176864624	3.4848484992980957	68.03571319580078
389360..389605	NC_007113.7	389360	389605		wrnip1	wrnip1	No description	-	allgene	overlapping	0	1.89393949508667	0.0	1.7261905670166016	0.7575758099555969	0.5128205418586731	0.7751938700675964
4208368..4208436	NC_007113.7	4208368	4208436		gata6	gata6	No description	+	allgene	overlapping	0	1.8518519401550293	2.222222328186035	5.55555534362793	0.0	0.0	0.0
11802685..11802761	NC_007113.7	11802685	11802761		greb1l	greb1l	No description	+	allgene	overlapping	0	100.0	100.0	98.0	90.55555725097656	30.0	26.19047737121582
35101821..35101922	NC_007113.7	35101821	35101922		pappa2	pappa2	No description	-	allgene	overlapping	0	0.0	0.0	1.0	0.0	0.0	8.333333015441895
43605666..43605753	NC_007113.7	43605666	43605753		epc1b	epc1b	No description	-	allgene	overlapping	0	0.0	0.7692307829856873	0.0	0.0	0.0	0.0
43605817..43605874	NC_007113.7	43605817	43605874		epc1b	epc1b	No description	-	allgene	overlapping	0	0.0	1.7857142686843872	0.0	0.0	0.0	0.0
44181941..44182110	NC_007113.7	44181941	44182110		cadm3	cadm3	No description	-	allgene	overlapping	0	2.500000238418579	0.0	0.8547009229660034	6.75	0.0	2.1929824352264404
44720337..44720428	NC_007113.7	44720337	44720428		map6d1	map6d1	No description	-	allgene	overlapping	0	0.0	1.015625	0.0	0.0	0.0	0.0
49093345..49093421	NC_007113.7	49093345	49093421		si:ch211-168n16.1	si:ch211-168n16.1	No description	+	allgene	overlapping	0	0.0	2.6315789222717285	2.6315789222717285	0.0	1.25	0.0
50062230..50062491	NC_007113.7	50062230	50062491		zcchc2	zcchc2	No description	+	allgene	overlapping	0	1.886792540550232	0.3205128312110901	0.4545454680919647	2.941176414489746	1.08695650100708	2.403846263885498
50414354..50414428	NC_007113.7	50414354	50414428		pde1cb	pde1cb	No description	+	allgene	overlapping	0	0.0	0.0	0.0	1.470588207244873	0.0	0.0
50414597..50414668	NC_007113.7	50414597	50414668		pde1cb	pde1cb	No description	+	allgene	overlapping	0	2.5641026496887207	0.0	0.8928571939468384	1.923076868057251	0.0	0.0
52927978..52928191	NC_007113.7	52927978	52928191		rxfp3.2a	rxfp3.2a	No description	+	allgene	overlapping	0	0.7407407760620117	1.969697117805481	1.159420371055603	0.36231887340545654	1.1111111640930176	2.3255813121795654
54018263..54018328	NC_007113.7	54018263	54018328		abhd8a	abhd8a	No description	-	allgene	overlapping	0	97.43589782714844	100.0	100.0	95.23809814453125	28.18181800842285	100.0
56635792..56635865	NC_007113.7	56635792	56635865		si:ch211-243a15.1	si:ch211-243a15.1	No description	-	allgene	overlapping	0	1.1904762983322144	0.0	0.8928571343421936	0.5952381491661072	0.0	0.9259259104728699
57227333..57227442	NC_007113.7	57227333	57227442		LOC555499	LOC555499	No description	-	allgene	overlapping	0	2.430555582046509	1.1363636255264282	0.0	0.0	0.0	7.8947367668151855
57444005..57444080	NC_007113.7	57444005	57444080		map2k2b	map2k2b	No description	-	allgene	overlapping	0	2.222222328186035	0.0	0.0	0.0	2.222222328186035	0.0
57900194..57900328	NC_007113.7	57900194	57900328		si:dkeyp-68b7.7	si:dkeyp-68b7.7	No description	-	allgene	overlapping	0	0.0	0.0	2.5641026496887207	0.0	0.0	0.0
58660830..58660908	NC_007113.7	58660830	58660908		LOC101883651	LOC101883651	No description	-	allgene	overlapping	0	0.0	0.0	0.0	0.0	0.0	0.0
58863187..58863269	NC_007113.7	58863187	58863269		null					Not found	0	0.0	1.388888955116272	0.9259259700775146	0.0	2.222222328186035	0.0
5207959..5208131	NC_007114.7	5207959	5208131		myh9b	myh9b	No description	-	allgene	overlapping	0	37.17948913574219	39.33333206176758	45.18315124511719	26.923076629638672	30.76923179626465	41.66666793823242
5227968..5228266	NC_007114.7	5227968	5228266		myh9b	myh9b	No description	-	allgene	overlapping	0	1.3066202402114868	0.0	0.0	0.0	0.0	0.0
12115064..12115123	NC_007114.7	12115064	12115123		LOC100333538	LOC100333538	No description	-	allgene	overlapping	0	0.0	1.1111111640930176	0.0	0.0	4.166666507720947	0.0
12115225..12115305	NC_007114.7	12115225	12115305		LOC100333538	LOC100333538	No description	-	allgene	overlapping	0	0.0	0.6451612710952759	0.6451612710952759	0.0	0.8064516186714172	0.0
13637385..13637541	NC_007114.7	13637385	13637541		si:ch211-194b1.1	si:ch211-194b1.1	No description	+	allgene	overlapping	0	0.0	1.8018019199371338	0.0	3.931623935699463	0.0	0.0
17030545..17030669	NC_007114.7	17030545	17030669		stat3	stat3	No description	+	allgene	overlapping	0	0.0	3.4482758045196533	1.7204301357269287	1.6129032373428345	2.3809523582458496	1.0752688646316528
17360291..17360362	NC_007114.7	17360291	17360362		si:ch211-210g13.5	si:ch211-210g13.5	No description	+	allgene	overlapping	0	0.0	0.0	0.0	1.8707482814788818	0.0	5.55555534362793
17360420..17360581	NC_007114.7	17360420	17360581		si:ch211-210g13.5	si:ch211-210g13.5	No description	+	allgene	overlapping	0	0.5813953280448914	0.0	2.9900331497192383	0.0	0.0	0.0
18006418..18006781	NC_007114.7	18006418	18006781		aclya	aclya	No description	+	allgene	overlapping	0	40.280113220214844	2.3809523582458496	42.225276947021484	97.61904907226562	52.38095474243164	52.5
25813177..25813303	NC_007114.7	25813177	25813303		ntn1b	ntn1b	No description	-	allgene	overlapping	0	0.7352941036224365	0.0	0.625	0.0	0.0	0.0
26286484..26286588	NC_007114.7	26286484	26286588		LOC103910250	LOC103910250	No description	+	allgene	overlapping	0	0.0	0.0	0.0	0.0	0.0	2.777777671813965
30155950..30156067	NC_007114.7	30155950	30156067		si:ch211-152f23.5	si:ch211-152f23.5	No description	-	allgene	overlapping	0	0.6896551847457886	0.0	0.0	1.8518518209457397	4.523809432983398	0.0
30728786..30729077	NC_007114.7	30728786	30729077		shank1	shank1	No description	-	allgene	overlapping	0	40.873016357421875	97.63157653808594	57.03703689575195	3.5	7.539682865142822	33.589744567871094
37476526..37476646	NC_007114.7	37476526	37476646		si:ch211-278a6.1	si:ch211-278a6.1	No description	-	allgene	overlapping	0	1.1111111640930176	0.7407407760620117	1.6666666269302368	0.0	0.0	0.0
40680644..40680751	NC_007114.7	40680644	40680751		si:dkey-33c3.1	si:dkey-33c3.1	No description	-	allgene	overlapping	0	1.3888888359069824	0.0	0.6172839999198914	1.1764706373214722	0.0	0.0
44752905..44753164	NC_007114.7	44752905	44753164		hs3st4	hs3st4	No description	-	allgene	overlapping	0	0.0	0.2777777910232544	0.5820106267929077	2.735849142074585	1.7514125108718872	0.0
48473390..48473512	NC_007114.7	48473390	48473512		metrnl	metrnl	No description	+	allgene	downstream	18	0.0	0.0	0.0	0.0	0.0	1.1494253873825073
53000771..53000857	NC_007114.7	53000771	53000857		pbx4	pbx4	No description	+	allgene	overlapping	0	1.25	0.0	0.0	0.0	0.0	0.0
60716880..60716989	NC_007114.7	60716880	60716989		foxj1a	foxj1a	No description	+	allgene	overlapping	0	3.2142858505249023	0.9523810148239136	0.0	1.25	8.854166984558105	2.222222328186035
62139868..62140061	NC_007114.7	62139868	62140061		gid4	gid4	No description	+	allgene	overlapping	0	0.4245283007621765	1.6666667461395264	1.6025640964508057	0.7751938700675964	0.0	0.4545454680919647
62140129..62140212	NC_007114.7	62140129	62140212		gid4	gid4	No description	+	allgene	overlapping	0	0.0	2.3809523582458496	0.0	1.1904761791229248	0.0	5.263157844543457
62525123..62525204	NC_007114.7	62525123	62525204		sox9b	sox9b	No description	-	allgene	overlapping	0	93.57142639160156	87.5	97.5	84.8484878540039	90.47618865966797	100.0
332546..332632	NC_007115.7	332546	332632		tulp4a	tulp4a	No description	+	allgene	overlapping	0	81.06060791015625	60.0	81.66667175292969	85.0	63.33333206176758	93.93939208984375
837748..837819	NC_007115.7	837748	837819		sobpb	sobpb	No description	-	allgene	overlapping	0	5.246913433074951	0.0	0.0	3.7037036418914795	5.0	1.2345679998397827
1440152..1440251	NC_007115.7	1440152	1440251		null					Not found	0	0.0	0.0	1.7567567825317383	1.576576590538025	0.9009009599685669	4.054054260253906
4272778..4272838	NC_007115.7	4272778	4272838		LOC103910383	LOC103910383	No description	-	allgene	overlapping	0	0.0	0.0	0.0	1.7857142686843872	0.0	0.0
5741677..5741773	NC_007115.7	5741677	5741773		pou3f2a	pou3f2a	No description	+	allgene	downstream	22	0.0	0.5376344323158264	2.4193549156188965	0.8064516186714172	0.0	0.0
5742497..5742649	NC_007115.7	5742497	5742649		pou3f2a	pou3f2a	No description	+	allgene	overlapping	0	1.5151516199111938	0.0	0.0	0.0	0.0	0.0
5763992..5764123	NC_007115.7	5763992	5764123		faxca	faxca	No description	-	allgene	overlapping	0	0.7407407164573669	0.0	0.6172839999198914	0.0	0.0	0.0
10367038..10367463	NC_007115.7	10367038	10367463		kcnd2	kcnd2	No description	+	allgene	overlapping	0	0.21978022158145905	0.1937984675168991	2.276632308959961	0.6584362387657166	1.3247863054275513	1.8264840841293335
12113067..12113146	NC_007115.7	12113067	12113146		tmem178b	tmem178b	No description	+	allgene	overlapping	0	8.333333015441895	0.0	0.0	1.9607844352722168	0.0	0.0
12113294..12113369	NC_007115.7	12113294	12113369		tmem178b	tmem178b	No description	+	allgene	overlapping	0	0.0	0.0	1.1363636255264282	3.125	0.0	0.0
12617242..12617317	NC_007115.7	12617242	12617317		lmo3	lmo3	No description	+	allgene	overlapping	0	0.0	2.5641026496887207	0.0	7.692307472229004	0.0	0.0
12955938..12956070	NC_007115.7	12955938	12956070		wif1	wif1	No description	+	allgene	overlapping	0	97.5	100.0	98.21428680419922	40.27777862548828	56.25	34.9450569152832
15441507..15441631	NC_007115.7	15441507	15441631		plxna4	plxna4	No description	-	allgene	overlapping	0	0.0	3.125	0.0	1.7857142686843872	0.0	1.010101079940796
17724655..17724705	NC_007115.7	17724655	17724705		chpt1	chpt1	No description	-	allgene	overlapping	0	0.0	0.0	1.3333333730697632	2.222222328186035	0.0	0.0
18201373..18201434	NC_007115.7	18201373	18201434		anks1b	anks1b	No description	-	allgene	overlapping	0	0.0	0.0	0.0	0.0	0.0	0.0
18594678..18594766	NC_007115.7	18594678	18594766		cdkn1ba	cdkn1ba	No description	-	allgene	overlapping	0	1.2345679998397827	3.0303030014038086	1.8181818723678589	1.767676830291748	2.17391300201416	0.0
18594862..18595179	NC_007115.7	18594862	18595179		cdkn1ba	cdkn1ba	No description	-	allgene	overlapping	0	0.54347825050354	0.3745318651199341	0.8960574269294739	1.6025640964508057	0.6481481790542603	2.0289855003356934
18939202..18939304	NC_007115.7	18939202	18939304		rap1b	rap1b	No description	-	allgene	overlapping	0	2.6785714626312256	1.388888955116272	0.6493507027626038	3.3333334922790527	4.166666507720947	0.0
18939391..18939466	NC_007115.7	18939391	18939466		rap1b	rap1b	No description	-	allgene	downstream	53	3.3333332538604736	0.0	0.0	0.0	0.0	5.128205299377441
25074940..25075170	NC_007115.7	25074940	25075170		null					Not found	0	0.0	0.0	1.6176471710205078	0.9259259104728699	0.9433962106704712	0.0
77555418..77555821	NC_007115.7	77555418	77555821		LOC110438638	LOC110438638	No description	+	allgene	downstream	578	55.09560012817383	25.21499252319336	17.212520599365234	56.510581970214844	29.066242218017578	48.06484603881836
77555939..77556439	NC_007115.7	77555939	77556439		LOC110438638	LOC110438638	No description	+	allgene	overlapping	0	71.7721176147461	22.31310272216797	19.0084228515625	69.36702728271484	17.869619369506836	47.94935989379883
77556516..77556856	NC_007115.7	77556516	77556856		LOC110438638	LOC110438638	No description	+	allgene	overlapping	0	91.66666412353516	39.341270446777344	17.44719886779785	100.0	38.730159759521484	67.83333587646484
